iter	Logloss	Accuracy	Precision	Recall	F1
0	0.6908602821	0.6989795918	0.6477272727	0.8724489796	0.7434782609
1	0.689359454	0.7015306122	0.6490566038	0.8775510204	0.7462039046
2	0.6875869173	0.7244897959	0.6848739496	0.8316326531	0.7511520737
3	0.6855061441	0.7142857143	0.6640625	0.8673469388	0.7522123894
4	0.6842380315	0.7295918367	0.6890756303	0.8367346939	0.7557603687
5	0.6821832408	0.7346938776	0.6932773109	0.8418367347	0.7603686636
6	0.6799562606	0.7219387755	0.6761133603	0.8520408163	0.7539503386
7	0.6773769485	0.7448979592	0.7086956522	0.8316326531	0.765258216
8	0.6766224398	0.7448979592	0.7123893805	0.8214285714	0.7630331754
9	0.6740799785	0.7397959184	0.7079646018	0.8163265306	0.7582938389
10	0.6728571187	0.7397959184	0.7117117117	0.806122449	0.7559808612
11	0.6706793845	0.7525510204	0.7281105991	0.806122449	0.7651331719
12	0.6684500614	0.7576530612	0.7487684729	0.7755102041	0.7619047619
13	0.6670272715	0.762755102	0.7512195122	0.7857142857	0.7680798005
14	0.6649805455	0.762755102	0.7417840376	0.806122449	0.7726161369
15	0.6629894727	0.7653061224	0.7407407407	0.8163265306	0.7766990291
16	0.6614489267	0.7602040816	0.7276785714	0.8316326531	0.7761904762
17	0.6596243913	0.7602040816	0.7339449541	0.8163265306	0.7729468599
18	0.6578368714	0.762755102	0.7268722467	0.8418367347	0.780141844
19	0.6564100737	0.7576530612	0.7224669604	0.8367346939	0.7754137116
20	0.6544185688	0.7653061224	0.7222222222	0.862244898	0.7860465116
21	0.6530302202	0.7704081633	0.7324561404	0.8520408163	0.7877358491
22	0.6517373211	0.7704081633	0.7345132743	0.8469387755	0.7867298578
23	0.6511366114	0.7678571429	0.7375565611	0.8316326531	0.7817745803
24	0.6491468567	0.7780612245	0.7422222222	0.8520408163	0.7933491686
25	0.6478056253	0.7780612245	0.7422222222	0.8520408163	0.7933491686
26	0.6465599999	0.7780612245	0.7359307359	0.8673469388	0.7962529274
27	0.6453156972	0.7806122449	0.7433628319	0.8571428571	0.7962085308
28	0.6439409441	0.7755102041	0.7347826087	0.862244898	0.79342723
29	0.6414882455	0.7755102041	0.7327586207	0.8673469388	0.7943925234
30	0.6397012671	0.7729591837	0.7296137339	0.8673469388	0.7925407925
31	0.6385982564	0.7678571429	0.7234042553	0.8673469388	0.788863109
32	0.6372912873	0.7653061224	0.7203389831	0.8673469388	0.787037037
33	0.6346920065	0.7653061224	0.718487395	0.8724489796	0.7880184332
34	0.6330123941	0.7780612245	0.7339055794	0.8724489796	0.7972027972
35	0.6311675975	0.7729591837	0.7296137339	0.8673469388	0.7925407925
36	0.6298823061	0.7729591837	0.7296137339	0.8673469388	0.7925407925
