iter	Passed	Remaining
0	87	261825
1	118	177533
2	154	154681
3	183	137735
4	193	115965
5	205	102678
6	307	131337
7	326	122056
8	331	110146
9	339	101650
10	355	96505
11	380	94745
12	417	95814
13	453	96724
14	469	93343
15	489	91364
16	571	100366
17	613	101582
18	654	102683
19	668	99636
20	738	104786
21	802	108581
22	839	108636
23	844	104686
24	858	102161
25	880	100672
26	886	97596
27	891	94578
28	909	93129
29	925	91656
30	942	90287
31	956	88694
32	965	86788
33	986	86017
34	1001	84863
35	1052	86649
36	1092	87500
37	1130	88142
38	1140	86570
39	1180	87374
40	1186	85615
41	1194	84132
42	1238	85183
43	1279	85966
44	1323	86879
45	1354	86979
46	1371	86143
47	1394	85764
48	1419	85461
49	1445	85307
50	1466	84798
51	1487	84344
52	1516	84302
53	1535	83793
54	1588	85075
55	1660	87296
56	1671	86312
57	1690	85743
58	1801	89818
59	1834	89886
60	1848	89078
61	1888	89483
62	1918	89415
63	1941	89078
64	1969	88947
65	1979	88017
66	2010	87991
67	2027	87410
68	2043	86784
69	2081	87107
70	2087	86120
71	2114	85993
72	2124	85186
73	2151	85057
74	2193	85543
75	2219	85409
76	2249	85382
77	2267	84942
78	2282	84380
79	2311	84382
80	2347	84590
81	2362	84057
82	2387	83902
83	2417	83935
84	2448	83973
85	2464	83520
86	2505	83888
87	2537	83969
88	2585	84561
89	2634	85176
90	2666	85254
91	2691	85060
92	2714	84850
93	2753	85125
94	2781	85055
95	2805	84877
96	2827	84623
97	2853	84488
98	2870	84110
99	2892	83885
100	2896	83146
101	2914	82801
102	2932	82478
103	2949	82135
104	3036	83716
105	3065	83684
106	3093	83634
107	3106	83182
108	3115	82636
109	3128	82189
110	3135	81602
111	3164	81610
112	3183	81332
113	3200	81012
114	3208	80497
115	3224	80175
116	3249	80082
117	3272	79925
118	3292	79722
119	3305	79343
120	3331	79267
121	3345	78922
122	3366	78738
123	3391	78669
124	3407	78362
125	3455	78812
126	3494	79045
127	3502	78585
128	3520	78359
129	3527	77867
130	3571	78209
131	3620	78667
132	3646	78596
133	3677	78661
134	3715	78845
135	3734	78636
136	3753	78443
137	3770	78197
138	3800	78214
139	3825	78158
140	3844	77946
141	3867	77830
142	3892	77767
143	3903	77427
144	3929	77365
145	3943	77092
146	3957	76805
147	3979	76681
148	3997	76481
149	4030	76585
150	4065	76709
151	4107	76966
152	4130	76855
153	4159	76871
154	4193	76973
155	4212	76794
156	4244	76856
157	4266	76747
158	4281	76502
159	4304	76413
160	4338	76497
161	4379	76729
162	4430	77119
163	4481	77496
164	4566	78455
165	4608	78679
166	4642	78754
167	4659	78541
168	4680	78410
169	4714	78490
170	4733	78310
171	4762	78307
172	4785	78205
173	4809	78120
174	4819	77801
175	4841	77691
176	4897	78112
177	4958	78613
178	5009	78940
179	5025	78740
180	5053	78708
181	5095	78901
182	5113	78709
183	5136	78607
184	5185	78896
185	5211	78839
186	5223	78575
187	5247	78483
188	5264	78301
189	5285	78165
190	5301	77968
191	5333	78009
192	5359	77944
193	5384	77874
194	5398	77658
195	5416	77487
196	5439	77396
197	5450	77137
198	5475	77063
199	5491	76874
200	5505	76668
201	5548	76856
202	5573	76792
203	5608	76864
204	5632	76800
205	5655	76710
206	5683	76689
207	5713	76686
208	5738	76629
209	5762	76564
210	5782	76432
211	5794	76203
212	5824	76204
213	5838	76013
214	5862	75939
215	5882	75819
216	5908	75772
217	5927	75648
218	5951	75571
219	5967	75403
220	5993	75369
221	6023	75372
222	6043	75253
223	6064	75157
224	6077	74958
225	6109	74990
226	6136	74959
227	6149	74762
228	6182	74812
229	6207	74756
230	6224	74617
231	6244	74505
232	6269	74453
233	6278	74217
234	6309	74240
235	6326	74097
236	6340	73920
237	6383	74081
238	6426	74246
239	6454	74227
240	6468	74050
241	6474	73789
242	6500	73757
243	6529	73755
244	6542	73571
245	6548	73315
246	6573	73264
247	6602	73261
248	6615	73088
249	6670	73374
250	6696	73339
251	6715	73226
252	6733	73108
253	6744	72918
254	6752	72683
255	6763	72501
256	6769	72256
257	6776	72014
258	6782	71781
259	6788	71544
260	6799	71357
261	6806	71126
262	6816	70940
263	6824	70726
264	6834	70532
265	6854	70452
266	6864	70261
267	6880	70136
268	6889	69941
269	6895	69717
270	6910	69584
271	6912	69325
272	6920	69133
273	6926	68915
274	6936	68731
275	6938	68480
276	6944	68262
277	6952	68074
278	6960	67882
279	6970	67711
280	6986	67598
281	6993	67409
282	7089	68066
283	7127	68160
284	7144	68060
285	7167	68018
286	7194	68006
287	7210	67895
288	7213	67665
289	7243	67693
290	7269	67676
291	7311	67808
292	7330	67721
293	7337	67532
294	7359	67486
295	7380	67425
296	7404	67385
297	7416	67250
298	7430	67121
299	7440	66965
300	7459	66887
301	7525	67229
302	7565	67342
303	7614	67525
